Voltage,Current,PowerFactor,Frequency,Fault
240.5925212,11.8209023,0.835947509,50.09822093,Normal
220.4613469,18.1095776,0.875414278,49.8776275,Normal
224.8486547,15.50059571,0.529098458,50.87207251,PowerFactor Fault
224.3979479,1.977915465,0.894149198,48.15986088,Normal
198.3168804,19.0129331,0.818226741,51.11394114,Normal
211.7395042,16.34024891,0.642504016,50.2337045,PowerFactor Fault
214.8511324,11.31367269,0.815395412,50.95812479,Normal
231.1914122,11.72768843,0.941492705,50.77514548,Normal
243.0567708,16.18614167,0.569025899,50.90317765,PowerFactor Fault
199.9216874,-2.753408637,0.528597593,47.54202016,PowerFactor Fault
220.404156,12.60354717,0.869455224,49.91690188,Normal
183.3965318,16.47811781,0.934070593,50.63636406,Normal
211.053621,4.595595219,0.792418186,50.26252118,Normal
226.8892967,10.59091121,0.541763826,50.00544385,PowerFactor Fault
246.7725072,3.805638747,0.530593444,49.74304292,PowerFactor Fault
260.5107171,10.42351526,0.580877607,49.2378356,PowerFactor Fault
236.1163045,20.10379623,0.558653966,50.18058239,PowerFactor Fault
222.3518929,1.755215985,0.742777256,51.04261469,Normal
245.6987006,4.924585724,0.503246483,49.1190429,PowerFactor Fault
240.8600393,8.90120448,0.59975195,49.70983895,PowerFactor Fault
200.0926239,10.73796067,0.790298877,50.35495175,Normal
233.1180602,15.49404741,0.759079351,50.12898317,Normal
218.7603554,1.993963717,0.572887907,50.94971561,PowerFactor Fault
205.3625058,11.43585336,0.822539865,48.89024113,Normal
220.4101828,12.24361721,0.548567254,51.32881612,PowerFactor Fault
226.1658561,9.40986703,0.912245879,50.89642037,Normal
222.0936738,18.84128747,0.838474717,51.61449501,Normal
242.5832609,4.869769597,0.721862592,49.59101797,Normal
241.8001442,5.813018671,0.653294581,49.96128185,Normal
224.1837242,5.58956976,0.768016216,49.76246684,Normal
235.7092941,20.58031679,0.931264489,50.76425975,Normal
228.6990214,9.34016017,0.531440807,50.89366194,PowerFactor Fault
200.8601505,7.162633903,0.686868014,49.47369028,Normal
245.5447778,8.540282736,0.776810123,51.21901634,Normal
227.4903678,12.57291634,0.945981522,49.5509616,Normal
236.9693962,13.15420413,0.692796906,49.64801293,Normal
232.6180988,4.09446681,0.849410399,49.04086717,Normal
242.0082444,10.29078499,0.842325741,50.87766828,Normal
225.9394029,17.68929335,0.921193513,50.52955846,Normal
245.3262768,-2.812631383,0.718792882,50.30531052,OpenCircuit
239.2640571,9.287273213,0.781655799,52.31377874,Normal
229.1296863,14.6380074,0.662875818,51.3127617,Normal
226.6777479,11.84031917,0.769817652,51.6807083,Normal
229.7823196,17.95648046,0.965788712,51.23836238,Normal
226.6374527,19.8244352,0.757783331,49.74532782,Normal
227.2470342,10.87597678,0.588219707,49.34160978,PowerFactor Fault
222.198276,12.3648694,0.577904355,49.87871198,PowerFactor Fault
218.6314377,17.62151306,0.896699394,49.90477042,Normal
228.9446845,-2.473728378,0.800125037,50.0051799,OpenCircuit
252.8537358,-4.436053921,0.605461247,50.00378503,PowerFactor Fault
245.2399819,3.682489314,0.707142821,49.20598174,Normal
235.2200691,8.75324502,0.928161489,49.10489608,Normal
240.2067701,12.60561381,0.552128794,50.64336427,PowerFactor Fault
218.706331,11.68741899,0.691262197,51.44830878,Normal
242.8438178,16.66919281,0.580272011,48.77035503,PowerFactor Fault
202.5447678,10.76781344,0.666937982,49.01892618,Normal
224.0338963,8.970667815,0.883228812,49.25528609,Normal
225.6865064,20.21865108,0.805437761,50.01015762,Normal
234.4779719,9.169613657,0.929070413,51.40752617,Normal
223.9033364,16.25531174,0.547250755,50.03362407,PowerFactor Fault
252.3171135,-3.363991074,0.819198811,49.36929719,OpenCircuit
234.438019,11.79868922,0.842207818,50.00503929,Normal
244.3506056,6.803336243,0.885638753,49.41019715,Normal
217.0752019,12.60372745,0.761781012,49.60145132,Normal
191.0460731,10.89277604,0.791263406,50.62670603,VoltageImbalance
238.0062711,13.78312072,0.845279519,51.09247453,Normal
238.1328773,18.79235213,0.691217645,51.13450167,GroundFault
237.1550759,6.674021024,0.937400296,52.29313437,Normal
248.3979682,15.50392854,0.659013288,49.21171552,GroundFault
251.0687884,-3.990836264,0.629817137,50.7581924,PowerFactor Fault
241.0485609,14.91612677,0.678669822,49.39424644,Normal
212.6339927,14.71813757,0.691246497,49.61700254,Normal
236.3205165,21.90129251,0.562163853,49.50189748,PowerFactor Fault
222.1651478,9.283329692,0.69335645,49.99190976,Normal
245.3623518,9.475487913,0.631104339,52.06796748,PowerFactor Fault
210.3257363,15.650513,0.891382057,48.83994854,LineToLineFault
225.5701652,13.30470604,0.638714332,48.27835306,PowerFactor Fault
217.5967225,3.841067284,0.518954663,51.32568874,PowerFactor Fault
204.8558372,17.39559761,0.646838406,50.25708403,PowerFactor Fault
233.2100768,8.499492234,0.750525363,48.14947274,Normal
209.4422388,6.07002643,0.653327965,49.5107878,Normal
215.5136655,5.348128325,0.756255135,50.81221024,Normal
223.4127042,12.29201839,0.963375694,51.38021754,Normal
223.6429735,0.728428158,0.728393037,49.06240821,Normal
216.9660892,22.15978928,0.986679937,48.03895799,Normal
215.3355968,9.913932476,0.523649056,51.18281991,PowerFactor Fault
237.6451158,11.33419394,0.973964669,50.54303328,Normal
226.2146434,9.399519351,0.851613831,50.04890071,Normal
232.9822116,11.0833594,0.901725439,50.23534287,Normal
232.9416946,13.7140986,0.940445087,49.47040305,Normal
241.771402,-0.494593333,0.810617545,49.67158113,OpenCircuit
215.8200335,8.196998281,0.844464572,50.79285768,Normal
210.7380398,1.735019512,0.772001018,49.45252804,Normal
205.6782721,0.497102083,0.614172972,50.32937601,PowerFactor Fault
208.4382034,7.832033541,0.999764161,49.66903257,Normal
228.5465057,15.36236654,0.763064117,48.42564227,Normal
215.0278539,5.76788264,0.873884352,50.51573409,Normal
223.8925726,19.60928633,0.753944694,51.59426844,Normal
215.3511649,14.32671405,0.60897865,49.9213833,PowerFactor Fault
203.4096146,17.03429621,0.572875922,51.13848681,PowerFactor Fault
225.1531535,3.109714374,0.954556332,47.33435066,Normal
230.1770799,12.41985564,0.676478262,49.27052386,Normal
245.8779976,4.829951214,0.919433067,49.91627392,Normal
222.6471355,19.23499222,0.840426597,49.42456947,Normal
236.9851932,1.769826498,0.675802428,49.61452783,Normal
255.735007,23.6262288,0.992692412,50.03907659,Normal
228.4743113,12.73558296,0.851175033,51.90265208,Normal
230.6459741,2.044133092,0.801952281,49.84215046,Normal
202.0881757,-0.046328618,0.961257958,51.73257955,OpenCircuit
257.817805,9.325261223,0.967767999,50.10737999,Normal
236.5347655,8.88084456,0.572984877,48.91700417,PowerFactor Fault
248.5089706,2.611542163,0.791918314,50.01149076,Normal
246.7043447,10.70076665,0.797299222,49.51896084,Normal
236.5608733,4.042403337,0.840994523,51.31387824,Normal
233.7950405,11.80468578,0.60049192,48.98379486,PowerFactor Fault
234.2961778,6.932090214,0.92601187,48.73410317,Normal
221.5954425,-1.137162493,0.922454181,52.09874677,OpenCircuit
202.3500376,4.495231055,0.526790844,48.78568161,PowerFactor Fault
214.2437637,4.909266897,0.99686154,50.39668723,Normal
218.6809849,11.07057183,0.794307173,50.38332437,Normal
232.7127028,14.43271492,0.672725576,49.62976358,Normal
237.6391054,15.73854415,0.822567509,50.21873453,Normal
239.7371971,-0.130330704,0.766681606,50.28499313,OpenCircuit
227.9013825,18.4280341,0.909774148,49.88168183,Normal
200.6358673,15.47504597,0.699816158,51.21735372,GroundFault
221.259941,10.69432006,0.587251203,49.06344764,PowerFactor Fault
215.9332012,18.57301962,0.778730326,50.36253887,Normal
241.1858603,-0.589203379,0.828438473,50.15839433,OpenCircuit
230.4157188,-0.479026891,0.8690551,48.48674784,OpenCircuit
220.6670607,4.363237418,0.533556165,51.8429741,PowerFactor Fault
235.1106015,9.82558326,0.684680862,49.41186483,Normal
221.818693,22.81626584,0.754167473,50.30358977,Normal
223.5383363,12.36061698,0.785466359,51.18486402,Normal
234.1622729,6.239048297,0.572499052,51.01599894,PowerFactor Fault
234.2463485,10.01137395,0.754270931,50.80406617,Normal
247.7148451,4.516958345,0.87074599,48.2293902,Normal
222.7618651,11.28778506,0.607839406,48.67434556,PowerFactor Fault
223.0777913,16.45662383,0.865619181,48.71138711,Normal
219.6811866,6.397031399,0.609641178,50.21427182,PowerFactor Fault
239.9438068,-0.824075255,0.647012748,50.6092121,PowerFactor Fault
210.8972335,11.36880507,0.941234052,49.13144213,Normal
245.8267289,14.95444104,0.945988992,51.04570093,Normal
222.1055665,14.55352898,0.509112388,49.63006985,PowerFactor Fault
250.6266102,7.449148422,0.840544314,49.63640918,Normal
236.371004,13.40831249,0.777705467,50.58690201,Normal
273.793363,11.94296743,0.651809905,48.83425495,OverVoltage
217.7554311,11.96169528,0.673660905,49.05253717,Normal
205.7599383,4.743531685,0.970309322,50.06372655,Normal
218.4290176,5.645705013,0.646125802,48.40561673,PowerFactor Fault
219.1725442,8.191940668,0.525893332,48.4928571,PowerFactor Fault
209.7189782,11.11267817,0.661359669,50.17355751,Normal
258.1387494,8.050444462,0.800298777,49.50137715,Normal
232.2646065,15.29194904,0.64919898,50.94948289,PowerFactor Fault
214.8550321,8.445604242,0.677103911,48.49666012,Normal
242.8718411,14.25638023,0.545425952,51.15666802,PowerFactor Fault
233.9472226,19.32019757,0.886395701,49.95810832,Normal
266.9356104,-1.103854547,0.64432787,48.24966382,PowerFactor Fault
239.6516555,1.876998863,0.701711395,50.19435474,Normal
252.4485716,5.941031523,0.966424106,50.3261633,Normal
215.0200734,7.196243873,0.853943834,50.10509738,Normal
233.0876979,14.75524883,0.540510636,49.97503658,PowerFactor Fault
202.9268385,7.71188891,0.614660146,50.04391722,PowerFactor Fault
